"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Brd1","1","SSD1306","","","","BinaryCounter-footprints:128x64OLED",""
"D1,D2,D3,D4","4","L08R5000Q1","","","","BinaryCounter-footprints:LEDRD254W57D500H1070",""
"R1,R2,R3,R4","4","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~"
"U1","1","XIAO-RP2040-DIP","","","","BinaryCounter-footprints:XIAO-RP2040-DIP",""
